"","Name","Aces","Double.faults","X1st.serves.in","X1st.serve.points.won","X2nd.serve.points.won","Fastest.serve","Average.1st.serve.speed","Average.2nd.serve.speed","Net.points.won","Break.points.won","Receiving.points.won","Winners","Unforced.errors","Total.points.won","Round"
"1","Andy Murray (GBR)",3,3,65.5,82,60.5,129,111,83.5,68,56,52.5,20,22,41,5
"2","David Goffin (BEL)",1,2,58,64,48,124,111,94,65,0,22,2,2,2,1
"3","Andrey Golubev (KAZ)",3,4,57,50,49,122,109,98,44,0,23,3,4,3,1
"4","Novak Djokovic (SRB)",13,4,67.5,79.5,61.5,125,114.5,97.5,75.5,34.5,43,15.5,5.5,13,7
"5","Grigor Dimitrov (BUL)",8,4,64.5,86,63.5,135,122.5,96.5,74.5,46.5,42.5,9,15.5,24,6
"6","Ryan Harrison (USA)",6,2,61,68,38,136,122,106,58,0,24,5,6,6,1
"7","Tomas Berdych (CZE)",18.5,2.5,63,78.5,72,130,117,98.5,73,21,36,32,12.5,45,3
"8","Victor Hanescu (ROU)",7,5,79,63,40,121,103,90,59,0,25,7,7,7,1
"9","Andrey Kuznetsov (RUS)",8,3.5,63.5,74.5,51,120,107,81.5,65.5,43.5,42.5,34,11.5,46.5,3
"10","Daniel Evans (GBR)",9,6,60,77,38,127,108,94,68,40,33,9,4,9,1
"11","James Ward (GBR)",5,1,65,49,43,121,111,94,46,0,29,11,10,11,1
"12","Mikhail Youzhny (RUS)",4,2.5,64.5,66.5,61,119,110,95,68,37,45,36,15,28.5,2
"13","David Ferrer (ESP)",6.5,4.5,72,64,47,113.5,104,92,75,51.5,43,35,7.5,37,2
"14","Pablo Carreno Busta (ESP)",11,1,71,58,28,126,112,95,67,18,35,12,8,14,1
"15","Dustin Brown (GER)",13,4,72,72,48,130,116,113,55,60,32,15,10,15,1
"16","Marcos Baghdatis (CYP)",7,5.5,58.5,74,55,127.5,115,105.5,59.5,19.5,29,7.5,16.5,50,2
"17","Andreas Haider-Maurer (AUT)",12.5,2,60.5,74.5,48.5,133,120.5,98,60,35,33.5,37.5,10.5,35.5,2
"18","Kyle Edmund (GBR)",14,7,55,71,44,128,113,92,48,17,30,17,12,18,1
"19","Daniel Cox (GBR)",14,8,67,67,44,127,105,86,55,33,29,18,2,19,1
"20","Jeremy Chardy (FRA)",15,7,59,79,56.5,129,118,101,68.5,35,39.5,41,22.5,54,4
"21","Alex Kuznetsov (USA)",16,4,63,73,45,133,120,98,71,35,41,20,14,22,1
"22","Fabio Fognini (ITA)",13,5,58.5,70.5,52.5,122,106,89,68.5,35,36.5,36,13,51.5,3
"23","Fernando Verdasco (ESP)",13,9,57,73,42,NA,NA,NA,67,25,31,12,16,1,1
"24","Marinko Matosevic (AUS)",13.5,8.5,62,74,51.5,NA,NA,NA,62.5,51,36,40.5,32.5,55,2
"25","Bernard Tomic (AUS)",11,2,76.5,78,60,128,114,94,80.5,41.5,34.5,25.5,10,38,2
"26","Evgeny Donskoy (RUS)",4,4,55,63,43,NA,NA,NA,75,50,22,21,18,24,1
"27","Alexandr Dolgopolov (UKR)",23,1,69,81,66.5,NA,NA,NA,64,34,30.5,42,24,23.5,3
"28","Samuel Groth (AUS)",17,4,67,84,49,NA,NA,NA,59,0,22,22,7,25,1
"29","Gilles Simon (FRA)",3,1,60,83,69,NA,NA,NA,71.5,39,36.5,33.5,19,45.5,3
"30","Konstantin Kravchuk (RUS)",18,3,69,72,48,NA,NA,NA,63,0,24,23,18,28,1
"31","Aljaz Bedene (SLO)",6,5,55,79,40,NA,NA,NA,65,0,28,2,4,29,1
"32","Kevin Anderson (RSA)",16,4.5,69,82,44,132,121,105,66,54.5,37,42.5,13.5,45,4
"33","Marin Cilic (CRO)",20.5,4.5,64.5,87,50,131,119,95,76.5,28,41,21,7,21.5,5
"34","Paul-Henri Mathieu (FRA)",20,2,62,69,46,NA,NA,NA,79,25,25,4,21,25,1
"35","Andreas Seppi (ITA)",21,7,63,83,51,NA,NA,NA,82,33,35,26,22,32,1
"36","Leonardo Mayer (ARG)",19,6,64.5,79.5,54.5,129,118,102,59,40.5,32,37,15,47,4
"37","Blaz Rola (SLO)",14.5,2,57.5,63.5,40.5,119,111,94,69.5,25,38.5,36.5,24.5,57,2
"38","Pablo Andujar (ESP)",3,4,59,57,44,NA,NA,NA,60,14,30,28,24,33,1
"39","Edouard Roger-Vasselin (FRA)",9.5,6,70,72,55.5,119,113,96,56.5,55.5,40,4,29.5,44.5,2
"40","Filippo Volandri (ITA)",1,4,70,59,36,NA,NA,NA,76,50,29,16,5,35,1
"41","Roberto Bautista Agut (ESP)",11,3,78.5,72.5,53,123,108,95,66,51.5,38,15.5,16.5,60.5,3
"42","Steve Johnson (USA)",7,6,58,73,51,NA,NA,NA,66,11,29,29,27,23,1
"43","Benjamin Becker (GER)",9,4,68.5,75.5,53,NA,NA,NA,69,24.5,33,29.5,19,4,2
"44","Donald Young (USA)",4,3,67,68,40,NA,NA,NA,69,0,29,18,6,37,1
"45","Teymuraz Gabashvili (RUS)",21,2,61,60,47,NA,NA,NA,60,50,32,4,29,4,1
"46","Tim Puetz (GER)",10,6.5,61.5,79,46.5,NA,NA,NA,79.5,39.5,39,26.5,31.5,46.5,2
"47","Alejandro Gonzalez (COL)",7,5,65,67,38,NA,NA,NA,44,0,25,30,5,39,1
"48","Jimmy Wang (TPE)",5.5,3,63,76,56.5,NA,NA,NA,70.5,54,43,30,25.5,36,3
"49","Pablo Cuevas (URU)",18,2,61,64,51,NA,NA,NA,44,0,18,31,7,40,1
"50","Radek Stepanek (CZE)",6.5,5,68,82.5,56,124,114,95,65,12.5,35,26.5,11.5,28.5,2
