"","ID","purchase","s.ahead","d.stay","s.weekd","in.weekd","out.weekd","room","adult","child","minstar","match","s.name","n.search","page","click","time"
"1",1,0,56,3,"Thursday","Thursday","Sunday",1,1,0,0,267,"",1,1,1,0
"2",2,0,0,3,"Thursday","Friday","Monday",1,2,0,0,266,"",1,2,0,0
"3",3,0,16,4,"Thursday","Sunday","Thursday",1,1,0,0,266,"",5,5,5,0.380555555555556
"5",5,0,54,1,"Thursday","Tuesday","Wednesday",1,2,0,50,15,"",1,1,0,0
"7",7,0,9,3,"Thursday","Sunday","Wednesday",1,1,0,0,2,"starlight suiten",1,1,0,0
"8",8,1,98,1,"Thursday","Friday","Saturday",1,1,0,0,266,"",2,3,2,0.00611111111111111
"9",9,1,0,2,"Thursday","Friday","Sunday",1,1,0,0,266,"",1,2,2,0
"10",10,0,15,3,"Thursday","Friday","Monday",1,2,0,0,1,"novotel budapest centrum",2,2,2,0.0311111111111111
"11",11,0,27,3,"Thursday","Thursday","Sunday",1,2,0,0,266,"",1,1,0,0
"14",14,0,84,4,"Thursday","Thursday","Monday",1,1,0,0,267,"",1,2,0,0
"16",16,1,6,2,"Thursday","Thursday","Saturday",1,1,0,0,266,"",4,7,5,0.141388888888889
"17",17,0,11,3,"Thursday","Monday","Thursday",1,1,0,0,267,"",2,2,1,141.948055555556
"18",18,0,35,4,"Thursday","Friday","Tuesday",1,2,0,0,266,"",5,6,9,8.27083333333333
"21",21,0,12,1,"Thursday","Wednesday","Thursday",1,2,0,30,266,"central hotel 21",31,37,20,114.66
"22",22,0,56,3,"Thursday","Thursday","Sunday",2,2,0,20,170,"",3,3,0,0.0161111111111111
"24",24,0,18,1,"Thursday","Tuesday","Wednesday",1,2,0,0,266,"europeum",18,18,3,352.239444444444
"25",25,0,46,3,"Thursday","Tuesday","Friday",1,1,0,0,266,"",1,1,0,0
"26",26,0,0,1,"Sunday","Monday","Tuesday",1,2,0,0,268,"",6,6,0,249.309166666667
"27",27,0,12,4,"Thursday","Tuesday","Saturday",1,2,0,0,267,"Danubius Astoria",2,2,1,0.00777777777777778
"28",28,0,15,1,"Thursday","Friday","Saturday",1,2,0,0,266,"",1,1,0,0
"29",29,0,19,1,"Thursday","Tuesday","Wednesday",1,1,0,0,266,"",7,8,0,6.54222222222222
"30",30,0,16,2,"Thursday","Sunday","Tuesday",1,2,0,0,266,"",1,1,0,0
"34",34,0,0,3,"Thursday","Friday","Monday",1,2,0,0,266,"",1,1,1,0
