date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EEK,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MTL,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
2015-02-23,3.6729,57.337925,123.8969,478.692002,1.78968,105.907499,8.702166,1.28183,1.79,1.034225,1.723085,2,77.88283,1.72398,0.377148,1570.748333,1,1.35978,6.9099,2.87789,1,0.0041837853,62.229138,9.655413,14860.833333,1.99758,1.25647,926.8525,0.947746,0.024799,621.270704,6.23475,2482.906628,536.804005,1,0.999378,97.087237,24.188,178.211119,6.572392,44.7198,94.67954,13.777975,7.628425,15.151125,20.32947,0.88215,2.033081,0.647002,0.647002,1.7655,0.647002,3.48106,0.647002,43.14,7219.278333,7.63514,206.574752,7.7573,21.16646,6.79754,46.6131,269.294798,12850.816536,3.90342,0.647002,62.20149,1185.016667,27606.666667,132.289,0.647002,115.372001,0.708958,118.871199,91.40868,61.1855,4052.257417,433.613973,900,1108.71834,0.296026,0.82703,185.147,8109.650065,1503.5,132.9638,84.494075,11.64093,2.976391,0.619251,1.35825,9.53887,18.6202,2831.31665,54.26344,1031.466684,1971.333333,7.990794,290.79625,0.683738,33.31314,15.30448,445.548999,15.08315,3.637266,34.1571,11.64293,200.216001,26.68556,7.597257,99.56037,1.328947,0.385006,1,3.08912,2.648171,44.27778,101.7005,3.68223,4761.188379,3.64163,3.92205,106.009999,63.743325,688.65402,3.750996,7.678241,14.01033,5.96355,8.405307,1.359656,0.647002,4358.333333,698.204122,3.2825,21633,8.74747,188.914501,11.64183,32.56228,5.425625,3.5,1.93647,2.00077,2.470088,6.33881,31.70752,1833.06665,28.0028,2873.333333,1,24.67306,2463.790023,6.307925,21321.666667,106.0425,2.478434,578.45418,0.06138225,0.00083206,2.7015,0.708328,579.28218,105.38044,215.027999,11.62893,5252.024745,7.00053,322.355006
2015-02-24,3.672069,57.352,123.713201,478.608001,1.78958,106.101376,8.696728,1.277606,1.79,1.048483,1.724278,2,77.77136,1.724301,0.376663,1565.496667,1,1.35808,6.901827,2.851726,1,0.0041859061,62.2405,9.622709,14887.283333,1.996016,1.250928,926.088167,0.949789,0.024799,619.809499,6.233038,2476.125,536.021895,1,0.999405,96.899913,24.21148,178.32512,6.578432,44.73148,94.493851,13.79015,7.625139,15.153825,20.31784,0.881994,2.031737,0.647153,0.647153,1.7655,0.647153,3.469006,0.647153,43.04218,7181.215,7.628405,206.399252,7.756849,20.9742,6.794018,46.54354,269.238501,12880.316536,3.93908,0.647153,62.11263,1186.293333,27633.333333,132.316999,0.647153,115.2576,0.708886,118.9772,91.38827,61.1855,4051.157417,433.904603,900,1111.063315,0.295943,0.826393,185.0036,8104.070065,1501.726667,132.900701,84.496575,11.55376,2.977452,0.61952,1.354258,9.559449,18.52941,2848.95835,54.30339,1029.156667,1971,7.987434,290.260996,0.683602,33.32835,15.27356,437.196667,14.9496,3.635102,34.033933,11.55574,200.367601,26.66684,7.584727,99.51868,1.33552,0.384834,1,3.088119,2.645071,44.22362,101.7179,3.670401,4743.979993,3.641565,3.921735,105.9787,63.01183,687.6128,3.750481,7.78275,13.87887,5.963823,8.409356,1.357999,0.647153,4361.666667,698.841422,3.2825,21615.058333,8.744679,188.914501,11.55564,32.53102,5.43685,3.5,1.935424,2.002244,2.464918,6.336115,31.68552,1817.813317,27.931043,2874.996667,1,24.61544,2462.400023,6.311051,21324.916667,106.175,2.480873,579.18718,0.06155454,0.0008328,2.70158,0.708093,579.08718,105.30643,215.083501,11.51612,5253.075255,6.989484,322.355006
2015-02-25,3.673324,57.32655,123.5259,478.616001,1.78954,106.191251,8.715239,1.268273,1.79,1.048517,1.722711,2,77.78737,1.72224,0.37698,1570.238333,1,1.354733,6.908006,2.872278,1,0.0042147659,62.038475,9.552545,14926.483333,1.996765,1.24686,925.8455,0.948596,0.0248,618.677497,6.23795,2482.121667,536.1465,1,0.999423,96.789388,24.14623,178.407519,6.574042,44.74938,94.47296,13.78995,7.618866,15.153825,20.32923,0.880023,2.029587,0.643971,0.643971,1.7655,0.643971,3.477302,0.643971,43.05781,7141.28,7.632037,206.476002,7.756888,20.983563,6.772427,46.64847,268.481199,12878.65013,3.943531,0.643971,61.94993,1186.21,27647,132.082001,0.643971,115.320399,0.708446,118.9028,91.394471,61.333226,4049.353317,433.389112,900,1103.691665,0.295846,0.825615,185.0868,8103.338398,1502.398333,132.9547,84.503099,11.4778,2.977501,0.619193,1.35657,9.529736,18.45668,2855.005016,54.1885,1031.913333,1973.833333,7.984061,290.5345,0.683738,33.32185,15.26513,435.966667,14.95621,3.609963,34.112675,11.4778,200.9634,26.67745,7.557221,99.3182,1.322697,0.385007,1,3.090752,2.639446,44.0737,101.7903,3.664577,4737.831621,3.641337,3.899848,106.1057,61.77732,691.5153,3.750787,7.680035,13.94625,5.96799,8.313326,1.354821,0.643971,4360,699.749753,3.3302,21631.247667,8.736452,188.914501,11.47874,32.52073,5.445675,3.5,1.932597,1.999219,2.485182,6.342826,31.50215,1819.610008,24.47895,2877.761667,1,24.64515,2461.233356,6.31105,21350.666667,106.4175,2.486441,578.53053,0.06062507,0.00083021,2.70154,0.707114,578.42171,105.19226,215.065501,11.47421,5252.024745,6.994766,322.355006
2015-02-26,3.673028,57.52745,124.5801,480.293997,1.78956,106.30425,8.720107,1.282213,1.79,1.04855,1.740639,2,78.08438,1.74201,0.376953,1562.014992,1,1.358414,6.908386,2.89744,1,0.0042323152,61.816688,9.572509,14834.5,2.002975,1.250237,930.4375,0.951824,0.0248,618.718799,6.237038,2490.791657,537.7609,1,1.003488,97.645051,24.50202,178.955521,6.646497,44.89878,94.67199,13.8783,7.620198,15.154625,20.39693,0.893216,2.039747,0.649029,0.649029,1.7655,0.649029,3.504722,0.649029,43.02028,7155.328333,7.653628,207.265502,7.75526,21.22335,6.854319,46.8058,270.169398,12855.35,3.957355,0.649029,61.78507,1186.881667,27703.333333,132.837001,0.649029,115.6748,0.708752,119.2714,91.46311,61.159075,4050.619984,437.909228,900,1101.865007,0.296262,0.828832,185.6727,8104.146732,1504.436667,133.392999,84.888225,11.52444,2.985152,0.624809,1.364581,9.615682,18.50332,2869.123317,54.73645,1034.2633,1972,8.007783,295.0849,0.683738,33.33826,15.27621,449.431899,14.9763,3.607383,33.911025,11.52444,202.555201,26.76232,7.643626,99.304141,1.328309,0.384954,1,3.10066,2.677237,44.07835,101.8783,3.698939,4738.759948,3.640608,3.946854,107.2322,61.35652,692.3214,3.750081,7.680768,13.97858,5.9721,8.396371,1.357043,0.649029,4360,703.012042,3.2825,21694.433333,8.766572,188.914501,11.52474,32.41444,5.449275,3.5,1.948597,1.99446,2.499199,6.370135,31.52337,1818.786667,28.713228,2888.068333,1,24.64813,2461.506689,6.323676,21356.716667,106.2175,2.473156,581.367208,0.06030832,0.00082697,2.70156,0.709187,582.762128,106.374529,215.072099,11.52335,5253.075255,6.960668,322.355006
2015-02-27,3.672648,57.331725,124.8491,478.812002,1.78958,106.338875,8.721236,1.280498,1.79,1.048217,1.742886,2,77.87114,1.743661,0.376992,1564.233359,1,1.360181,6.9084,2.848013,1,0.0039190589,61.8262,9.629288,14823.166667,1.997542,1.249906,919.249833,0.953223,0.02486,617.528401,6.244064,2494.781673,536.094898,1,1.000425,98.079025,24.5159,178.369521,6.652828,44.78471,94.962721,13.9007,7.629326,15.155125,20.35449,0.893258,2.037392,0.647843,0.647843,1.7655,0.647843,3.502286,0.647843,43.0965,7225.97,7.628556,206.845627,7.755381,20.99065,6.840037,46.68834,270.055597,12924.4,3.976142,0.647843,61.72265,1186.783333,27702.333333,132.817999,0.647843,115.399101,0.708944,119.507799,91.394751,61.314,4052.464984,439.48485,900,1099.355015,0.296107,0.829142,185.2212,8108.090065,1507.033333,133.162901,84.595826,11.62132,2.987204,0.625465,1.35952,9.623931,18.41047,2864.656667,54.81462,1035.546692,1970.666667,7.990415,290.887125,0.683602,33.57803,15.2945,443.660799,14.94404,3.608371,33.893,11.62332,201.960501,26.64932,7.65254,98.9533,1.322282,0.385092,1,3.093056,2.653724,44.08217,101.8374,3.699116,4728.270033,3.641342,3.952214,107.234901,61.42208,689.1773,3.750407,7.660684,14.04276,5.971705,8.334821,1.360936,0.647843,4359.083333,700.609042,3.2825,21787.7,8.807785,188.914501,11.6094,32.37355,5.446625,3.5,1.94531,1.996127,2.50478,6.358315,31.47645,1829.521675,28.836883,2888.161667,1,24.61673,2464.690023,6.32319,21351,106.1325,2.481107,584.000283,0.06039894,0.00082414,2.70102,0.710842,584.001283,106.55908,215.0796,11.61794,5252.024745,6.909244,322.355006
2015-02-28,3.672649,57.331725,125.0812,478.742002,1.78952,106.338875,8.722024,1.280369,1.79,1.048117,1.746679,2,77.99304,1.746696,0.377003,1567.439992,1,1.362519,6.91786,2.850852,1,0.0039515789,61.806575,9.629288,14847,2.000362,1.250778,919.290167,0.9534,0.02486,617.531101,6.24639,2501.615007,536.839498,1,1.000425,98.377225,24.56612,178.369521,6.663754,44.85491,95.025101,13.965775,7.629446,15.155125,20.38412,0.893148,2.037392,0.647843,0.647843,1.7655,0.647843,3.506635,0.647843,43.10051,7238.013333,7.638842,207.209502,7.755338,21.19281,6.850966,46.75368,270.390697,12952.216667,3.981478,0.647843,61.70701,1190.316667,27702.333333,133.199999,0.647843,115.559601,0.708944,119.582899,91.396101,61.30825,4058.934984,439.5527,900,1099.800015,0.296165,0.831947,185.475,8127.066732,1510.996667,133.360701,84.595826,11.64642,2.992948,0.627414,1.361445,9.63695,18.43074,2867.276667,54.90779,1038.426659,1970.666667,8.001666,292.401625,0.683738,33.60943,15.30027,445.818599,14.95402,3.611962,33.893,11.64842,202.365001,26.68704,7.668026,99.03621,1.322282,0.385095,1,3.098271,2.653724,44.09217,101.9813,3.704666,4737.931699,3.641359,3.96044,107.387201,61.55284,690.2401,3.750415,7.661814,14.04577,5.992745,8.343093,1.361978,0.647843,4359.083333,700.862522,3.2825,21869.95,8.831202,188.914501,11.6345,32.36263,5.44355,3.5,1.947259,1.99596,2.508737,6.368735,31.48713,1835.855008,27.2475,2897.33,1,24.63735,2463.356689,6.323163,21380.1,106.1325,2.480907,585.401283,0.06039894,0.00082414,2.70102,0.710842,585.396283,106.74438,215.0791,11.64305,5253.075255,6.910566,322.355006
2015-03-01,3.67343,57.44765,125.1469,479.006002,1.78952,106.331375,8.725116,1.28126,1.79,1.048117,1.748004,2,77.94807,1.74794,0.377045,1565.416659,1,1.36183,6.90864,2.84204,1,0.003870011,61.777525,9.632588,14831.5,1.99906,1.25065,919.4,0.953936,0.024869,617.465001,6.247276,2498.370007,536.550998,1,1.000625,98.347325,24.58745,177.543521,6.67192,44.83142,95.011121,13.982175,7.632346,15.155625,20.36056,0.894212,2.038337,0.648335,0.648335,1.7655,0.648335,3.50944,0.648335,43.1,7196.666667,7.63458,206.793752,7.754756,21.18198,6.84987,46.73002,270.719897,12963.3,3.983217,0.648335,61.68683,1193.016667,27714.333333,133.237999,0.648335,115.428001,0.709016,119.6763,91.385681,61.30825,4049.96665,439.736925,900,1100.083348,0.296192,0.832023,185.25,8110.150065,1509.5,133.216001,84.613826,11.64996,2.994279,0.627882,1.36019,9.64559,18.45236,2854.816667,54.9515,1036.099992,1970.666667,7.99211,291,0.683602,33.64684,15.2829,446.666999,14.94097,3.6134,33.846225,11.65192,202.596001,26.7137,7.66362,98.96606,1.323219,0.385128,1,3.09626,2.651439,44.10368,101.861,3.707818,4728.150033,3.64133,3.96269,107.437001,61.36348,689.247,3.751059,7.661914,14.04479,5.9726,8.346281,1.363059,0.648335,4398.333333,701.166022,3.2825,21875.416667,8.83192,188.914501,11.65172,32.37227,5.44315,3.5,1.94949,1.995993,2.507567,6.36516,31.49106,1834.083341,27.26504,2890.666667,1,24.59974,2463.356689,6.313425,21345,106.1325,2.480907,585.515383,0.06037102,0.00082414,2.70154,0.710842,585.511383,106.78832,215.076,11.6609,5252.024745,6.88955,322.355006
2015-03-02,3.67295,57.370176,125.230899,479.080002,1.78952,106.406374,8.730607,1.288366,1.79,1.048117,1.748525,2,77.89261,1.74865,0.376927,1566.100016,1,1.36442,6.9093,2.88382,1,0.003716273,61.857675,9.704143,14931.5,1.99926,1.253168,928.146667,0.957184,0.024869,617.138994,6.251716,2521.74335,536.647002,1,1.000688,98.25315,24.59211,177.569541,6.663567,44.83446,94.90466,13.983475,7.622956,15.155625,20.36358,0.894242,2.043209,0.650879,0.650879,1.7655,0.650879,3.5046,0.650879,43.032,7194.666667,7.63333,206.803752,7.755351,21.18364,6.86143,46.70662,272.123699,12984.35,3.997357,0.650879,61.82987,1185.116642,27714.333333,133.369,0.650879,115.467001,0.708416,120.0472,91.3965,61.30825,4049.96665,439.967515,900,1101.660007,0.296568,0.829693,185.305,8109.650065,1508.166667,133.153999,84.743125,11.75299,2.99451,0.628212,1.35825,9.64453,18.33392,2865.600033,55.00254,1036.300008,1968.666667,7.99289,290.898797,0.683738,33.72268,15.26468,450.692999,15.00633,3.63072,33.950501,11.75299,201.738001,26.71976,7.690406,99.09874,1.331857,0.385032,1,3.0974,2.643437,44.11486,101.863499,3.715682,4708.461589,3.64127,3.97349,107.724,62.3258,686.70902,3.750339,7.705453,13.97227,5.975925,8.33673,1.36488,0.650879,4375,702.398042,3.2825,21869.333333,8.77374,188.914501,11.75373,32.35606,5.443125,3.5,1.95035,1.99596,2.516381,6.35253,31.48824,1813.550016,26.67004,2892.666667,1,24.61176,2467.770036,6.31045,21345.166667,106.0825,2.474747,586.262056,0.06095723,0.00082872,2.70154,0.711464,585.641996,106.829329,215.049001,11.74913,5252.024745,6.8939,322.355006
2015-03-03,3.672807,57.33335,125.6594,478.550001,1.78954,106.368876,8.736181,1.279601,1.79,1.048983,1.749403,2,77.84596,1.74889,0.377113,1570.24165,1,1.363324,6.913089,2.916442,1,0.0035366294,61.90295,9.719669,15053.8,1.998304,1.24953,925.9965,0.960108,0.024869,617.274897,6.252259,2540.316667,535.786602,1,0.999608,98.474175,24.57179,178.328401,6.666908,44.79503,95.06233,13.99045,7.619967,15.155825,20.35658,0.894577,2.035665,0.651,0.651,1.7655,0.651,3.494384,0.651,43.02062,7221.388333,7.628655,206.673752,7.755051,21.0035,6.858089,46.7114,273.6286,12980.35,3.980432,0.651,61.84427,1180.803317,27742.666667,133.560999,0.651,115.3849,0.708182,119.7353,91.34836,61.327075,4064.16825,440.277099,900,1098.60999,0.296674,0.829288,185.1606,8115.941732,1508.038333,133.1634,84.6285,11.75161,2.995134,0.628548,1.359788,9.649461,18.39137,2886.593301,54.96874,1037.313341,1973.166667,7.989022,291.4975,0.683738,33.83295,15.27093,439.967833,14.98533,3.625766,33.524575,11.75161,200.997,26.70675,7.705279,99.077,1.324584,0.38501,1,3.093376,2.639849,44.1009,101.9597,3.724182,4697.948281,3.641696,3.982699,108.1417,61.94143,687.565,3.750159,7.616726,13.91713,5.983363,8.288407,1.362863,0.651,4383.333333,703.041822,3.2825,21872.2,8.781195,188.914501,11.75319,32.34516,5.443175,3.5,1.950229,1.996393,2.5304,6.32965,31.4116,1835.718333,26.966846,2906.748333,1,24.615,2466.590036,6.315729,21360.733333,106.227501,2.485829,587.493631,0.06145578,0.00083021,2.70154,0.712299,586.889651,106.8234,215.054301,11.74751,5252.024745,6.971271,322.355006
2015-03-04,3.67293,57.387125,126.163901,479.328001,1.7895,106.314001,8.741256,1.278847,1.79,1.047717,1.761064,2,77.91554,1.761752,0.376955,1572.20665,1,1.368317,6.912361,2.962899,1,0.0036753437,62.112325,9.747837,15016.416667,2.00035,1.244159,926.265833,0.962417,0.0249,618.650801,6.247736,2536.14835,536.235905,1,1.001138,98.9464,24.75293,178.734999,6.713874,44.82784,95.17842,14.053425,7.618393,15.155825,20.38171,0.90244,2.035865,0.655049,0.655049,1.7655,0.655049,3.506766,0.655049,43.04075,7192.376667,7.635401,206.947252,7.755199,21.19563,6.902148,46.73124,275.711298,12989.216667,3.989597,0.655049,62.19771,1180.461659,27755.333333,134.319001,0.655049,115.539601,0.708686,119.7292,91.20311,61.330225,4061.14665,443.050548,900,1099.101665,0.296921,0.82907,185.3908,8114.090065,1507.64,133.140899,84.7535,11.79877,2.971929,0.63228,1.35959,9.694205,18.31205,2891.976699,55.42998,1037.103308,1975,8.006497,292.2037,0.683738,33.9083,15.28277,441.649333,15.03726,3.651118,33.78305,11.79877,200.282101,26.73623,7.761732,99.59705,1.318094,0.385012,1,3.096979,2.643762,44.12286,101.92804,3.740067,4678.499967,3.641379,4.010635,108.9018,61.86659,693.3096,3.75049,7.671356,13.59469,5.981698,8.322934,1.366872,0.655049,4390.5,704.324742,3.2825,22046.6,8.778316,188.914501,11.80039,32.37387,5.4467,3.5,1.957292,1.995993,2.555905,6.356332,31.46405,1838.656683,24.49755,2922.173333,1,24.67417,2464.756702,6.319875,21367.516667,106.00375,2.475422,591.146458,0.06178495,0.00083383,2.7015,0.713945,590.543558,107.620329,215.0584,11.78459,5252.024745,6.963481,322.355006
